date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:49	38718/38718	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:12:48%20GMT	https://matematika.cz/matice	~home/websites/mara/matice/matematika.cz/matice.html	(from )
12:12:49	39/39	---M--	200	added ('OK')	text/plain	etag:%2227-4f0402bb99b40%22	https://matematika.cz/robots.txt		(from )
12:12:50	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-4f0402baa5900%22	https://matematika.cz/favicon.ico	~home/websites/mara/matice/matematika.cz/favicon.ico	(from https://matematika.cz/matice)
12:12:51	38357/38357	---M-Z	200	added ('OK')	text/css	etag:%2295d5-5214b27dbc871-gzip%22	https://matematika.cz/sources/styles/styly.css?version=5	~home/websites/mara/matice/matematika.cz/sources/styles/styly79ee.css	(from https://matematika.cz/matice)
12:12:52	11577/11577	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:12:52%20GMT	https://matematika.cz/	~home/websites/mara/matice/matematika.cz/index.html	(from https://matematika.cz/matice)
12:12:52	975/975	---MC-	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202019%2011:12:52%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400italic,400,800,700&subset=latin,latin-ext	~home/websites/mara/matice/fonts.googleapis.com/cssb5c9.css	(from https://matematika.cz/matice)
12:12:53	955/955	---MC-	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202019%2011:12:53%20GMT	https://fonts.googleapis.com/css?family=Roboto+Condensed:700|Roboto:400,400italic,900&subset=latin,latin-ext	~home/websites/mara/matice/fonts.googleapis.com/css43e8.css	(from https://matematika.cz/matice)
12:12:54	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c7dc750500d9c78e1c25db57956f1eb9%22	http://connect.facebook.net/cs_CZ/all.js	~home/websites/mara/matice/connect.facebook.net/cs_CZ/all.js	(from https://matematika.cz/matice)
12:12:55	126750/126750	---M--	200	added ('OK')	image/png	etag:%221ef1e-56f136a4ae3dc%22	https://matematika.cz/content/sda-kon/limec-strojirenstvi-horni.png	~home/websites/mara/matice/matematika.cz/content/sda-kon/limec-strojirenstvi-horni.png	(from https://matematika.cz/matice)
12:12:56	6139/6139	---M--	200	added ('OK')	image/png	etag:%2217fb-4f04021d4a5c0%22	https://matematika.cz/content/newfiles/matematika-cz-logo.png	~home/websites/mara/matice/matematika.cz/content/newfiles/matematika-cz-logo.png	(from https://matematika.cz/matice)
12:12:57	1896/1896	---M--	200	added ('OK')	image/png	etag:%22768-4f0401fdd1b80%22	https://matematika.cz/content/images/soucin-matic.png	~home/websites/mara/matice/matematika.cz/content/images/soucin-matic.png	(from https://matematika.cz/matice)
12:12:59	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2008%20Dec%202019%2011:12:58%20GMT	https://fonts.googleapis.com/robots.txt		(from https://matematika.cz/matice)
12:13:00	180/180	---MCZ	200	added ('OK')	text/plain	date:Sun,%2008%20Dec%202019%2011:12:59%20GMT	https://plus.google.com/robots.txt		(from https://matematika.cz/matice)
12:13:00	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2008%20Dec%202019%2011:12:55%20GMT	https://plus.google.com/106738392831664880938/	~home/websites/mara/matice/plus.google.com/106738392831664880938/index.html	(from https://matematika.cz/matice)
