date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:56	38718/38718	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:14:55%20GMT	https://matematika.cz/matice	~home/websites/mara/matice2/matematika.cz/matice.html	(from )
12:14:56	39/39	---M--	200	added ('OK')	text/plain	etag:%2227-4f0402bb99b40%22	https://matematika.cz/robots.txt		(from )
12:14:57	388/388	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202019%2011:14:57%20GMT	https://www.matematika.cz/images/web/logo-min.png	~home/websites/mara/matice2/www.matematika.cz/images/web/logo-min.1.delayed	(from https://matematika.cz/matice)
12:14:58	2633/2633	---M--	200	added ('OK')	image/png	etag:%22a49-4f04025f18100%22	https://matematika.cz/images/web/logo-min.png	~home/websites/mara/matice2/matematika.cz/images/web/logo-min.png	(from https://matematika.cz/matice)
12:14:59	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-4f0402baa5900%22	https://matematika.cz/favicon.ico	~home/websites/mara/matice2/matematika.cz/favicon.ico	(from https://matematika.cz/matice)
12:15:00	38357/38357	---M-Z	200	added ('OK')	text/css	etag:%2295d5-5214b27dbc871-gzip%22	https://matematika.cz/sources/styles/styly.css?version=5	~home/websites/mara/matice2/matematika.cz/sources/styles/styly79ee.css	(from https://matematika.cz/matice)
12:15:01	11577/11577	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:01%20GMT	https://matematika.cz/	~home/websites/mara/matice2/matematika.cz/index.html	(from https://matematika.cz/matice)
12:15:02	975/975	---MC-	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202019%2011:15:01%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400italic,400,800,700&subset=latin,latin-ext	~home/websites/mara/matice2/fonts.googleapis.com/cssb5c9.css	(from https://matematika.cz/matice)
12:15:02	955/955	---MC-	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202019%2011:15:02%20GMT	https://fonts.googleapis.com/css?family=Roboto+Condensed:700|Roboto:400,400italic,900&subset=latin,latin-ext	~home/websites/mara/matice2/fonts.googleapis.com/css43e8.css	(from https://matematika.cz/matice)
12:15:03	91625/91625	---M-Z	200	added ('OK')	application/javascript	etag:%22165e9-4f02b0eb75b00-gzip%22	https://matematika.cz/test/js/jquery.min.js	~home/websites/mara/matice2/matematika.cz/test/js/jquery.min.js	(from https://matematika.cz/matice)
12:15:04	3198/3198	---M-Z	200	added ('OK')	application/javascript	etag:%22c7e-4f02b0ea818c0-gzip%22	https://matematika.cz/test/js/jquery.hoveraccordion.min.js	~home/websites/mara/matice2/matematika.cz/test/js/jquery.hoveraccordion.min.js	(from https://matematika.cz/matice)
12:15:05	3008/3008	---M-Z	200	added ('OK')	application/javascript	etag:%22bc0-4f04028ec7180-gzip%22	https://matematika.cz/sources/javascript/analytics.js	~home/websites/mara/matice2/matematika.cz/sources/javascript/analytics.js	(from https://matematika.cz/matice)
12:15:06	164/164	---M--	200	added ('OK')	image/png	etag:%22a4-519f5cb73de2d%22	https://konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi1.png	~home/websites/mara/matice2/konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi1.png	(from https://matematika.cz/matice)
12:15:07	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2008%20Dec%202019%2011:15:03%20GMT	https://plus.google.com/106738392831664880938/	~home/websites/mara/matice2/plus.google.com/106738392831664880938/index.html	(from https://matematika.cz/matice)
12:15:08	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202019%2011:15:07%20GMT	https://konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi2.png	~home/websites/mara/matice2/konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi2.b.delayed	(from https://matematika.cz/matice)
12:15:10	27991/27991	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Dec%202019%2011:15:08%20GMT	https://www.konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi2.png	~home/websites/mara/matice2/www.konstrukter.cz/wp-content/uploads/2014/07/polozka-pozadi2.c.delayed	(from https://matematika.cz/matice)
12:15:10	52736/52736	---MC-	200	added ('OK')	text/javascript	date:Sun,%2008%20Dec%202019%2011:15:10%20GMT	https://www.googletagservices.com/tag/js/gpt.js	~home/websites/mara/matice2/www.googletagservices.com/tag/js/gpt.js	(from https://matematika.cz/matice)
12:15:12	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c7dc750500d9c78e1c25db57956f1eb9%22	http://connect.facebook.net/cs_CZ/all.js	~home/websites/mara/matice2/connect.facebook.net/cs_CZ/all.js	(from https://matematika.cz/matice)
12:15:12	126750/126750	---M--	200	added ('OK')	image/png	etag:%221ef1e-56f136a4ae3dc%22	https://matematika.cz/content/sda-kon/limec-strojirenstvi-horni.png	~home/websites/mara/matice2/matematika.cz/content/sda-kon/limec-strojirenstvi-horni.png	(from https://matematika.cz/matice)
12:15:13	78511/78511	---M--	200	added ('OK')	image/png	etag:%22132af-56f136a5ae19c%22	https://matematika.cz/content/sda-kon/limec-strojirenstvi-levy.png	~home/websites/mara/matice2/matematika.cz/content/sda-kon/limec-strojirenstvi-levy.png	(from https://matematika.cz/matice)
12:15:14	76806/76806	---M--	200	added ('OK')	image/png	etag:%2212c06-56f136a62ffbc%22	https://matematika.cz/content/sda-kon/limec-strojirenstvi-pravy.png	~home/websites/mara/matice2/matematika.cz/content/sda-kon/limec-strojirenstvi-pravy.png	(from https://matematika.cz/matice)
12:15:15	6139/6139	---M--	200	added ('OK')	image/png	etag:%2217fb-4f04021d4a5c0%22	https://matematika.cz/content/newfiles/matematika-cz-logo.png	~home/websites/mara/matice2/matematika.cz/content/newfiles/matematika-cz-logo.png	(from https://matematika.cz/matice)
12:15:16	25099/25099	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:16%20GMT	https://matematika.cz/matematika-pro-vysoke-skoly	~home/websites/mara/matice2/matematika.cz/matematika-pro-vysoke-skoly.html	(from https://matematika.cz/matice)
12:15:17	26135/26135	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:17%20GMT	https://matematika.cz/matematika-pro-stredni-skoly	~home/websites/mara/matice2/matematika.cz/matematika-pro-stredni-skoly.html	(from https://matematika.cz/matice)
12:15:18	24112/24112	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:18%20GMT	https://matematika.cz/matematika-pro-zakladni-skoly	~home/websites/mara/matice2/matematika.cz/matematika-pro-zakladni-skoly.html	(from https://matematika.cz/matice)
12:15:19	33204/33204	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:19%20GMT	https://matematika.cz/telesa	~home/websites/mara/matice2/matematika.cz/telesa.html	(from https://matematika.cz/matice)
12:15:20	1896/1896	---M--	200	added ('OK')	image/png	etag:%22768-4f0401fdd1b80%22	https://matematika.cz/content/images/soucin-matic.png	~home/websites/mara/matice2/matematika.cz/content/images/soucin-matic.png	(from https://matematika.cz/matice)
12:15:21	31410/31410	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:21%20GMT	https://matematika.cz/hodnost-matice	~home/websites/mara/matice2/matematika.cz/hodnost-matice.html	(from https://matematika.cz/matice)
12:15:22	27241/27241	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:22%20GMT	https://matematika.cz/inverzni-matice	~home/websites/mara/matice2/matematika.cz/inverzni-matice.html	(from https://matematika.cz/matice)
12:15:23	37745/37745	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:23%20GMT	https://matematika.cz/determinanty	~home/websites/mara/matice2/matematika.cz/determinanty.html	(from https://matematika.cz/matice)
12:15:24	21402/21402	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:24%20GMT	https://matematika.cz/kategorie-zakladni-skola	~home/websites/mara/matice2/matematika.cz/kategorie-zakladni-skola.html	(from https://matematika.cz/matice)
12:15:26	33161/33161	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:25%20GMT	https://matematika.cz/scitani-odecitani	~home/websites/mara/matice2/matematika.cz/scitani-odecitani.html	(from https://matematika.cz/matice)
12:15:26	28817/28817	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:26%20GMT	https://matematika.cz/nasobeni	~home/websites/mara/matice2/matematika.cz/nasobeni.html	(from https://matematika.cz/matice)
12:15:27	29584/29584	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:27%20GMT	https://matematika.cz/deleni	~home/websites/mara/matice2/matematika.cz/deleni.html	(from https://matematika.cz/matice)
12:15:28	27032/27032	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:28%20GMT	https://matematika.cz/mnohocleny	~home/websites/mara/matice2/matematika.cz/mnohocleny.html	(from https://matematika.cz/matice)
12:15:29	27036/27036	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:29%20GMT	https://matematika.cz/deleni-mnohoclenu	~home/websites/mara/matice2/matematika.cz/deleni-mnohoclenu.html	(from https://matematika.cz/matice)
