date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:40	72179/72179	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2016:58:40%20GMT	https://www.karaoketexty.cz/nejzobrazovanejsi-pisne	~home/websites/mara/texty/www.karaoketexty.cz/nejzobrazovanejsi-pisne.html	(from )
17:58:42	252/252	---M-Z	200	added ('OK')	text/plain	etag:%221e2-58b993530b3b7-gzip%22	https://www.karaoketexty.cz/robots.txt		(from )
17:58:43	151659/151659	---M--	200	added ('OK')	text/css	etag:%225ddd39f1-2506b%22	https://img.karaoketexty.cz/css/default.css?a=14	~home/websites/mara/texty/img.karaoketexty.cz/css/default77b8.css	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:43	10807/10807	---M--	200	added ('OK')	text/css	etag:%22596d0340-2a37%22	https://img.karaoketexty.cz/css/ui-lightness/jquery-ui-1.8.2.custom.css	~home/websites/mara/texty/img.karaoketexty.cz/css/ui-lightness/jquery-ui-1.8.2.custom.css	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:44	0/0	---M--	200	added ('OK')	text/html	etag:%224a129aae-0%22	https://img.karaoketexty.cz/img/img/cs_CZ/karaoke-ico.jpg	~home/websites/mara/texty/img.karaoketexty.cz/img/img/cs_CZ/karaoke-ico.jpg	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:46	94840/94840	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	~home/websites/mara/texty/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:47	507241/507241	---MCZ	200	added ('OK')	application/javascript	etag:%227bd69-598671d965c40-gzip%22	https://cms.tiscali.cz/js/video.bundle.js	~home/websites/mara/texty/cms.tiscali.cz/js/video.bundle.js	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:48	10973/10973	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d88a13b-2add%22	https://cdn.cpex.cz/skin/v2/cpex-skin.js	~home/websites/mara/texty/cdn.cpex.cz/skin/v2/cpex-skin.js	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:48	5327/5327	---M--	200	added ('OK')	image/png	etag:%2259edde00-14cf%22	https://img.karaoketexty.cz/img/cs_CZ/logo.png	~home/websites/mara/texty/img.karaoketexty.cz/img/cs_CZ/logo.png	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:49	426/426	---M--	200	added ('OK')	image/png	etag:%221aa-57364ff5bd926%22	https://www.karaoketexty.cz/img/search_icon18.png	~home/websites/mara/texty/www.karaoketexty.cz/img/search_icon18.png	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:50	47607/47607	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2016:58:49%20GMT	https://www.karaoketexty.cz/	~home/websites/mara/texty/www.karaoketexty.cz/index.html	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
17:58:50	86219/86219	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2016:58:50%20GMT	https://www.karaoketexty.cz/kecarna/strana-1	~home/websites/mara/texty/www.karaoketexty.cz/kecarna/strana-1.html	(from https://www.karaoketexty.cz/nejzobrazovanejsi-pisne)
