date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:14	8492/8492	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2009:59:13%20GMT	https://zonglovani.info/	~home/websites/mara/zonglovani/zonglovani.info/index.html	(from )
10:59:14	95/95	---MCZ	200	added ('OK')	text/plain	etag:W/%2254ee2454-4f%22	https://zonglovani.info/robots.txt		(from )
10:59:20	13010/13010	---M--	200	added ('OK')	image/png	etag:%2254455db7-32d2%22	https://zonglovani.info/apple-touch-icon.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon.png	(from https://zonglovani.info/)
10:59:20	11489/11489	---M--	200	added ('OK')	image/png	etag:%2254455db7-2ce1%22	https://zonglovani.info/apple-touch-icon-precomposed.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-precomposed.png	(from https://zonglovani.info/)
10:59:21	3462/3462	---M--	200	added ('OK')	image/png	etag:%2254455db7-d86%22	https://zonglovani.info/apple-touch-icon-57x57.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-57x57.png	(from https://zonglovani.info/)
10:59:22	7534/7534	---M--	200	added ('OK')	image/png	etag:%2254455db7-1d6e%22	https://zonglovani.info/apple-touch-icon-114x114.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-114x114.png	(from https://zonglovani.info/)
10:59:23	4398/4398	---M--	200	added ('OK')	image/png	etag:%2254455db7-112e%22	https://zonglovani.info/apple-touch-icon-72x72.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-72x72.png	(from https://zonglovani.info/)
10:59:24	9891/9891	---M--	200	added ('OK')	image/png	etag:%2254455db7-26a3%22	https://zonglovani.info/apple-touch-icon-144x144.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-144x144.png	(from https://zonglovani.info/)
10:59:25	3656/3656	---M--	200	added ('OK')	image/png	etag:%2254455db7-e48%22	https://zonglovani.info/apple-touch-icon-60x60.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-60x60.png	(from https://zonglovani.info/)
10:59:26	8001/8001	---M--	200	added ('OK')	image/png	etag:%2254455db7-1f41%22	https://zonglovani.info/apple-touch-icon-120x120.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-120x120.png	(from https://zonglovani.info/)
10:59:27	4739/4739	---M--	200	added ('OK')	image/png	etag:%2254455db7-1283%22	https://zonglovani.info/apple-touch-icon-76x76.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-76x76.png	(from https://zonglovani.info/)
10:59:28	10518/10518	---M--	200	added ('OK')	image/png	etag:%2254455db7-2916%22	https://zonglovani.info/apple-touch-icon-152x152.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-152x152.png	(from https://zonglovani.info/)
10:59:29	13010/13010	---M--	200	added ('OK')	image/png	etag:%2254455db7-32d2%22	https://zonglovani.info/apple-touch-icon-180x180.png	~home/websites/mara/zonglovani/zonglovani.info/apple-touch-icon-180x180.png	(from https://zonglovani.info/)
10:59:30	16069/16069	---M--	200	added ('OK')	image/png	etag:%225a073a53-3ec5%22	https://zonglovani.info/img/f/favicon-256x256.png	~home/websites/mara/zonglovani/zonglovani.info/img/f/favicon-256x256.png	(from https://zonglovani.info/)
10:59:31	13967/13967	---M--	200	added ('OK')	image/png	etag:%225a073a53-368f%22	https://zonglovani.info/img/f/favicon-192x192.png	~home/websites/mara/zonglovani/zonglovani.info/img/f/favicon-192x192.png	(from https://zonglovani.info/)
10:59:32	11226/11226	---M--	200	added ('OK')	image/png	etag:%225a073a53-2bda%22	https://zonglovani.info/img/f/favicon-160x160.png	~home/websites/mara/zonglovani/zonglovani.info/img/f/favicon-160x160.png	(from https://zonglovani.info/)
10:59:33	6204/6204	---M--	200	added ('OK')	image/png	etag:%225a073a53-183c%22	https://zonglovani.info/img/f/favicon-96x96.png	~home/websites/mara/zonglovani/zonglovani.info/img/f/favicon-96x96.png	(from https://zonglovani.info/)
